N,NNF nodes,POG nodes,Just clauses,Tot clauses,D4 secs,Gen secs,Check secs
3,35,15,12,106,8.6e-05,0.0,0.0
4,95,57,50,448,0.000324,0.01,0.0
5,359,270,323,2294,0.000895,0.06,0.02
6,1715,1281,1886,12293,0.004567,0.52,0.17
7,8431,6114,11167,66580,0.026555,11.17,1.73
8,40332,29412,72500,370858,0.183532,676.79,41.51
9,210857,144111,377363,1943899,1.217682,30547.49,1059.88
