N,NNF nodes,POG nodes,Unhinted Asserts,Just clauses,Tot clauses,D4 secs,Gen secs,Hint secs,Check secs
5,316,192,7,21,2056,0.000937,0.06,0.11,0.03
6,717,528,65,124,5779,0.002843,0.19,0.17,0.11
7,2426,1818,333,646,24737,0.013212,1.41,0.67,0.67
8,11038,8445,3434,7898,142257,0.094203,14.45,2.5,6.41
9,19768,15837,2918,5759,236468,0.1253,39.68,18.65,14.22
10,41078,30642,5549,11360,478276,0.261297,124.62,55.89,37.03
11,158385,119514,53719,108730,2187679,4.406548,2186.81,1018.51,424.06
12,258274,176049,142704,237631,3361637,2.431872,3827.63,1838.91,879.74
