N,NNF nodes,POG nodes,Def clauses,Just clauses,Tot clauses,Gen secs,Hint secs,Check secs
3,35,15,72,32,126,0.0,0.036,0.0
4,95,57,295,142,540,0.01,0.037,0.01
5,359,270,1590,897,2868,0.08,0.1,0.07
6,1715,1281,8432,4999,15406,0.34,0.127,0.31
7,8431,6114,42536,26703,82116,2.51,0.673,2.55
8,40332,29412,219496,172822,471180,24.31,7.27,47.11
9,210857,144111,1084900,1066206,2632742,401.1,153.812,1081.64
10,532732,356505,2799110,4295261,8370231,15713.26,2640.75,12613.6
