N,NNF nodes,POG nodes,Unhinted Asserts,Just clauses,Tot clauses,D4 secs,Gen secs,Hint secs,Check secs
3,35,15,32,32,126,5.8e-05,0.0,0.1,0.0
4,95,57,140,146,544,0.000401,0.01,0.1,0.0
5,359,270,854,935,2891,0.000845,0.05,0.15,0.05
6,1715,1281,4852,5175,15422,0.004442,0.29,0.48,0.32
7,8431,6114,25247,27791,81595,0.025918,2.1,3.95,2.61
8,40332,29412,157820,178360,458466,0.183756,14.71,89.07,47.11
9,210857,144111,965258,1106673,2561085,1.188858,107.22,3580.28,1085.61
10,532732,356505,3344844,4628428,8394409,5.119994,385.24,16030.36,12620.02
